@relation data_small

@attribute Date numeric
@attribute Gross_domestic_product numeric
@attribute Personal_consumption_expenditures numeric
@attribute Goods1 numeric
@attribute Durable_goods numeric
@attribute Nondurable_goods numeric
@attribute Services1 numeric
@attribute Gross_private_domestic_investment numeric
@attribute Fixed_investment numeric
@attribute Nonresidential numeric
@attribute Structures numeric
@attribute Equipment numeric
@attribute Intellectual_property_products numeric
@attribute Residential numeric
@attribute Change_in_private_inventories numeric
@attribute Net_exports_of_goods_and_services numeric
@attribute Exports numeric
@attribute Goods2 numeric
@attribute Services2 numeric
@attribute Imports numeric
@attribute Goods3 numeric
@attribute Services3 numeric
@attribute Government_consumption_expenditures_and_gross_investment numeric
@attribute Federal numeric
@attribute National_defense numeric
@attribute Nondefense numeric
@attribute State_and_local numeric

@data
1974.8,1603,960.9,458.1,127.1,330.9,502.8,281.3,260.9,197.6,63.2,107.8,26.6,63.3,20.4,0,136.6,111.7,24.9,136.6,112.3,24.3,360.8,166.4,113.3,53.1,194.4
1975,1619.6,987.1,468,131.8,336.2,519.1,244.3,254.3,193.1,61.7,104.5,26.9,61.2,-10,16.5,141.4,114.9,26.4,124.9,100.9,24,371.7,167.6,113.9,53.7,204.1
1975.3,1656.4,1015.8,481.5,136.7,344.8,534.3,243.3,257.2,193.3,60.4,105.6,27.3,64,-14,21.6,136.8,108.5,28.4,115.2,92.3,23,375.8,169,113.8,55.2,206.8
1975.5,1713.8,1049.6,502.8,146.8,356,546.8,265.2,266.6,197.8,61.3,108.5,28,68.8,-1.4,12,134.1,109.8,24.3,122.1,98.8,23.3,387,174.9,118.7,56.1,212.1
1975.8,1765.9,1078.5,513.1,153.4,359.7,565.5,276.2,275.9,202.9,62,111.8,29,73,0.3,13.8,142.5,116.8,25.8,128.7,104,24.7,397.3,179.7,121.5,58.2,217.6
1976,1824.5,1112.3,530.7,163.3,367.4,581.6,304.6,289.9,209.5,64.1,115,30.4,80.4,14.7,4.7,143.6,117,26.6,138.9,113.5,25.4,402.9,180.5,121.5,58.9,222.4
1976.3,1856.9,1132,539,165.9,373.1,593,322.3,299.9,215,65.1,118.3,31.6,84.8,22.4,-0.5,146.6,119.1,27.5,147.1,121.3,25.8,403.2,182,122.8,59.2,221.2
1976.5,1890.5,1161.3,550.5,169.8,380.6,610.9,328.3,307.5,222.6,66.7,123.1,32.8,84.9,20.8,-4.1,151.8,122.7,29.1,155.8,128.9,26.9,404.9,183.6,123.9,59.7,221.3
1976.8,1938.4,1195.1,565.1,175.5,389.6,630,337.6,327.1,230.2,67.8,128.5,33.9,96.9,10.5,-6.6,156.1,127.1,28.9,162.7,134.7,27.9,412.3,189,127,62,223.3
1977,1992.5,1230.6,580.4,183.9,396.5,650.2,360.3,345.5,243.3,69.7,139,34.5,102.2,14.8,-21.1,155.4,126.3,29,176.4,147.6,28.8,422.7,192.9,129.9,63,229.8
