@relation DATASET

@attribute 'S&P Global Equity Indices' numeric
@attribute 'Money and quasi money growth' numeric
@attribute 'Inflation consumer prices' numeric
@attribute 'General government final consumption expenditure' numeric
@attribute 'Household final consumption expenditure' numeric
@attribute 'Final consumption expenditure' numeric
@attribute 'Exports of goods and services' numeric
@attribute 'Gross fixed capital formation' numeric
@attribute 'Gross capital formation' numeric
@attribute 'Imports of goods and services' numeric
@attribute 'Agriculture value added' numeric
@attribute 'Manufacturing value added' numeric
@attribute 'Industry value added' numeric
@attribute 'Services value added' numeric
@attribute 'Adjusted net national income' numeric
@attribute 'Inflation GDP deflator' numeric
@attribute 'GDP growth' numeric
@attribute 'GNI growth' numeric
@attribute 'Population growth' numeric
@attribute 'Rural population growth' numeric
@attribute 'Urban population growth' numeric
@attribute Year numeric

@data
-13.042456,7.08937,2.826171,3.538125,2.594076,2.633785,-5.843078,-0.539716,-4.33854,-2.836618,-5.043005,-4.059035,-3.369701,2.287257,1.297645,2.278901,0.975982,1.106823,0.989741,0.140998,1.21338,2001
-23.366249,4.547391,1.586032,3.867697,2.578417,2.808612,-1.724447,-1.763757,0.623437,3.665149,3.760923,1.149798,0.058396,2.3704,1.547312,1.535125,1.786128,1.740943,0.927797,0.081502,1.148419,2002
26.380037,4.387999,2.270095,1.799032,3.125832,2.907761,1.764281,3.92284,3.976134,4.465108,9.650533,5.021098,2.728801,2.412781,2.026841,1.994056,2.806776,2.950791,0.859482,0.010863,1.07836,2003
8.99354,5.607001,2.677237,1.547812,3.841211,3.501721,9.752357,5.802831,7.464885,11.410667,6.277649,6.524061,5.0906,3.077896,3.707777,2.749721,3.785743,3.933478,0.925484,0.069599,1.143885,2004
3.001582,8.218371,3.392747,0.799894,3.514603,3.044489,6.253035,5.602295,5.287453,6.33188,4.805913,2.224649,0.923676,3.853474,2.637806,3.217638,3.345216,3.323413,0.921713,0.07339,1.135885,2005
13.6192,9.384759,3.225944,1.101165,3.041184,2.693059,9.035676,2.178386,2.320674,6.322152,4.078834,5.015103,3.500336,2.484838,3.500189,3.072267,2.666626,2.44194,0.964254,0.10867,1.177968,2006
3.529202,12.050588,2.852672,1.395978,2.238544,2.047319,9.266418,-1.239898,-2.214753,2.519347,-13.70812,3.269754,1.769215,1.670608,-0.124792,2.661336,1.77857,2.163476,0.951055,0.093157,1.163068,2007
-38.485256,8.030323,3.8391,2.533044,-0.342301,0.165743,5.735664,-4.843224,-6.986297,-2.558995,6.785119,-2.854431,-3.499873,0.240323,-2.788922,1.961612,-0.291621,-0.004416,0.945865,0.085657,1.156186,2008
23.453817,4.944744,-0.355546,3.746047,-1.600974,-0.635469,-8.79379,-13.070127,-16.891666,-13.724065,12.910939,-7.75943,-6.237983,-1.80561,-0.850435,0.759435,-2.77553,-2.880453,0.876651,0.014133,1.08529,2009
12.782079,-2.741439,1.640043,0.114641,1.922953,1.592588,11.894506,1.118234,9.549633,12.715595,1.844036,5.393882,2.631623,2.112322,3.342398,1.221349,2.531921,2.862543,0.836054,-0.023564,1.041782,2010
-0.00248,6.674682,3.156842,-2.653594,2.263085,1.281558,6.851153,3.696472,2.873054,5.472065,-4.473741,0.289681,0.734527,1.619916,2.076668,2.064627,1.601455,1.80955,0.764678,-0.112887,0.972454,2011
13.40569,5.006203,2.069337,-0.879044,1.459464,1.122822,3.417326,6.274194,6.927847,2.229774,-3.396689,0.773383,2.504524,2.018447,3.691324,1.795225,2.321084,2.202274,0.763927,-0.121407,0.971273,2012
29.60125,?,1.464833,-2.490098,1.701431,1.791857,2.797604,2.409758,2.684654,1.051517,12.059807,1.458178,1.787875,1.758435,1.439559,1.490054,2.219308,2.245645,0.756558,-0.142025,0.964706,2013
11.390638,?,1.622223,-0.581456,2.693949,1.793344,3.384371,?,5.447561,3.830678,?,?,?,?,3.09484,1.459022,2.3882,1.710377,0.742746,-0.169375,0.951689,2014
-0.726602,?,0.118627,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,2015
